customer_id,age,tenure_months,monthly_charges,total_charges,support_calls,contract_type,payment_method,internet_service,churn
CUST_000062,42,8,37.74,182.08,1,Month-to-month,Electronic check,DSL,1
CUST_000063,28,5,69.24,295.16,3,Two year,Bank transfer,DSL,0
CUST_000064,27,9,40.09,425.21,4,Month-to-month,Credit card,No,1
CUST_000065,57,23,77.78,1651.0,3,One year,Electronic check,DSL,0
CUST_000066,65,4,44.1,158.87,4,Month-to-month,Electronic check,DSL,0
CUST_000067,43,7,97.37,663.95,0,Two year,Mailed check,Fiber optic,0
CUST_000068,60,15,30.26,533.13,4,One year,Electronic check,DSL,1
CUST_000069,50,6,78.47,538.31,1,Month-to-month,Mailed check,Fiber optic,0
CUST_000070,35,21,47.45,895.4,3,Month-to-month,Electronic check,No,1
CUST_000071,50,61,50.6,3231.22,1,One year,Credit card,DSL,0
CUST_000072,68,33,123.42,3956.54,2,Two year,Credit card,Fiber optic,0
CUST_000073,44,26,100.15,2713.2,2,One year,Electronic check,Fiber optic,1
CUST_000074,68,20,39.89,742.87,3,Month-to-month,Electronic check,DSL,1
CUST_000075,18,16,94.41,1526.91,4,Two year,Credit card,Fiber optic,0
CUST_000076,57,4,83.16,355.26,0,Two year,Bank transfer,Fiber optic,0
CUST_000077,46,54,94.34,5113.9,4,One year,Credit card,Fiber optic,0
CUST_000078,40,6,64.93,457.0,3,One year,Electronic check,Fiber optic,0
CUST_000079,46,2,109.71,258.56,5,Month-to-month,Electronic check,Fiber optic,0
CUST_000080,18,33,61.01,2091.85,5,Month-to-month,Bank transfer,Fiber optic,0
CUST_000081,41,4,61.83,293.79,2,Two year,Credit card,DSL,0
CUST_000082,50,11,58.41,516.08,1,Month-to-month,Electronic check,Fiber optic,1
CUST_000083,67,0,97.12,26.98,0,Month-to-month,Bank transfer,Fiber optic,0
CUST_000084,37,3,113.15,283.05,1,One year,Mailed check,No,0
CUST_000085,32,4,106.98,316.99,4,Month-to-month,Electronic check,Fiber optic,1
CUST_000086,37,1,100.27,71.29,3,Two year,Mailed check,No,0
CUST_000087,58,25,131.18,3297.8,3,Month-to-month,Mailed check,Fiber optic,1
CUST_000088,49,43,111.21,4807.19,1,One year,Electronic check,DSL,1
CUST_000089,37,11,100.61,1212.26,5,One year,Mailed check,Fiber optic,1
CUST_000090,52,49,142.78,7126.96,3,Two year,Bank transfer,Fiber optic,0
CUST_000091,46,5,23.2,149.62,3,Month-to-month,Bank transfer,DSL,0
CUST_000092,59,9,87.9,842.85,2,Month-to-month,Electronic check,Fiber optic,0
CUST_000093,34,3,95.4,295.72,2,One year,Credit card,No,0
CUST_000094,40,23,123.28,2912.22,0,One year,Electronic check,No,1
CUST_000095,39,13,114.88,1542.2,1,Month-to-month,Bank transfer,Fiber optic,1
CUST_000096,23,22,115.2,2528.86,3,Month-to-month,Mailed check,Fiber optic,1
CUST_000097,49,34,131.58,4688.89,0,Month-to-month,Credit card,DSL,1
CUST_000098,48,18,82.74,1434.66,2,Month-to-month,Electronic check,DSL,1
CUST_000099,45,23,32.19,885.86,1,One year,Electronic check,Fiber optic,0
CUST_000100,41,65,53.61,3348.92,0,One year,Electronic check,Fiber optic,1
CUST_000101,23,8,78.46,709.07,0,One year,Electronic check,Fiber optic,0
CUST_000102,38,10,68.53,828.93,2,Month-to-month,Electronic check,Fiber optic,1
CUST_000103,39,30,80.12,2213.01,2,Two year,Electronic check,Fiber optic,0
CUST_000104,32,22,71.04,1576.79,0,Two year,Mailed check,No,0
CUST_000105,42,4,113.77,526.63,3,Month-to-month,Electronic check,DSL,1
CUST_000106,51,11,61.42,700.78,1,Month-to-month,Electronic check,No,0
CUST_000107,73,15,113.12,1734.66,1,One year,Electronic check,DSL,0
CUST_000108,47,13,116.79,1531.85,3,One year,Credit card,No,0
CUST_000109,48,4,71.95,178.38,1,One year,Mailed check,DSL,1
CUST_000110,43,61,95.19,6043.63,4,One year,Electronic check,Fiber optic,0
CUST_000111,18,34,113.1,3795.12,3,Month-to-month,Mailed check,DSL,1
CUST_000112,44,15,98.3,1517.87,2,Month-to-month,Electronic check,DSL,1
CUST_000113,45,27,66.35,1726.86,1,Month-to-month,Mailed check,DSL,0
CUST_000114,80,54,57.25,2864.17,2,Two year,Electronic check,Fiber optic,0
CUST_000115,42,3,47.99,51.5,4,Two year,Electronic check,Fiber optic,1
CUST_000116,49,6,36.1,71.86,1,Two year,Credit card,DSL,0
CUST_000117,44,18,58.47,1161.67,0,Month-to-month,Electronic check,Fiber optic,0
CUST_000118,27,38,65.18,2416.24,3,One year,Mailed check,DSL,1
CUST_000119,62,0,83.77,0.0,1,One year,Bank transfer,No,0
CUST_000120,56,99,164.95,16223.58,1,Month-to-month,Credit card,Fiber optic,1
CUST_000121,56,14,95.57,1347.44,3,One year,Credit card,DSL,0
CUST_000122,31,10,117.66,1105.0,0,One year,Electronic check,Fiber optic,1
CUST_000123,66,8,102.41,918.54,2,Two year,Credit card,No,0
CUST_000124,23,4,94.79,409.35,2,Month-to-month,Electronic check,Fiber optic,1
CUST_000125,53,37,79.91,2899.35,0,One year,Credit card,Fiber optic,0
CUST_000126,77,74,89.48,6706.5,3,Two year,Electronic check,DSL,0
CUST_000127,30,12,110.63,1328.33,1,One year,Electronic check,DSL,1
CUST_000128,36,73,147.04,10736.02,0,Month-to-month,Electronic check,Fiber optic,0
CUST_000129,46,41,85.69,3366.95,0,Month-to-month,Electronic check,Fiber optic,1
CUST_000130,37,15,28.41,418.99,2,Two year,Credit card,DSL,0
CUST_000131,21,26,112.25,2950.74,2,Month-to-month,Electronic check,DSL,1
CUST_000132,46,13,55.01,848.45,5,Two year,Electronic check,Fiber optic,0
CUST_000133,29,19,30.49,504.1,1,Month-to-month,Electronic check,No,1
CUST_000134,52,1,101.0,328.81,2,Two year,Electronic check,DSL,1
CUST_000135,31,28,85.74,2456.45,3,One year,Electronic check,Fiber optic,1
CUST_000136,68,1,89.02,0.0,1,Two year,Mailed check,No,0
CUST_000137,33,40,131.47,5174.24,2,Month-to-month,Credit card,DSL,0
CUST_000138,40,41,94.62,4021.41,4,Two year,Mailed check,No,0
CUST_000139,57,6,73.32,564.24,5,Month-to-month,Bank transfer,DSL,1
CUST_000140,26,9,53.57,483.91,1,Month-to-month,Mailed check,No,1
CUST_000141,48,15,58.02,885.28,2,Two year,Electronic check,Fiber optic,1
CUST_000142,64,21,110.15,2196.78,3,Month-to-month,Mailed check,Fiber optic,0
CUST_000143,20,8,68.9,683.37,1,One year,Credit card,DSL,0
CUST_000144,47,21,46.85,885.13,1,Month-to-month,Mailed check,DSL,1
CUST_000145,48,8,33.45,352.1,2,One year,Mailed check,No,0
CUST_000146,56,1,67.79,203.0,0,One year,Bank transfer,No,1
CUST_000147,26,0,66.5,4.82,2,Month-to-month,Credit card,DSL,1
CUST_000148,25,2,86.35,269.45,0,Month-to-month,Mailed check,DSL,0
CUST_000149,52,37,85.61,3352.21,3,Month-to-month,Mailed check,DSL,1
CUST_000150,49,78,73.35,5747.91,2,Month-to-month,Electronic check,No,0
CUST_000151,48,13,77.28,987.11,2,Month-to-month,Electronic check,No,1
CUST_000152,50,17,119.18,2019.36,0,One year,Bank transfer,DSL,0
CUST_000153,34,3,37.44,38.03,0,One year,Bank transfer,DSL,1
CUST_000154,48,19,98.48,1794.48,2,One year,Electronic check,No,0
CUST_000155,49,3,80.89,286.9,6,One year,Bank transfer,DSL,0
CUST_000156,34,22,105.86,2312.49,2,One year,Electronic check,No,0
CUST_000157,72,64,67.06,4324.6,1,Month-to-month,Electronic check,DSL,0
CUST_000158,52,5,116.66,434.31,0,Two year,Electronic check,DSL,0
CUST_000159,27,34,99.1,3360.02,1,Month-to-month,Mailed check,DSL,1
CUST_000160,54,0,104.71,103.01,2,Month-to-month,Electronic check,Fiber optic,1
CUST_000161,30,11,50.16,439.88,0,Month-to-month,Bank transfer,DSL,0
CUST_000162,56,2,94.94,191.54,2,One year,Bank transfer,DSL,0
CUST_000163,62,10,103.1,845.57,2,Month-to-month,Electronic check,Fiber optic,1
CUST_000164,32,4,61.74,116.43,5,Month-to-month,Electronic check,Fiber optic,1
CUST_000165,59,11,63.9,783.61,2,Month-to-month,Electronic check,No,0
CUST_000166,51,12,91.78,1070.43,2,Month-to-month,Mailed check,Fiber optic,0
CUST_000167,57,8,33.34,448.93,1,One year,Electronic check,DSL,1
CUST_000168,73,25,106.06,2694.8,1,One year,Mailed check,DSL,0
CUST_000169,41,60,54.29,3310.38,0,Month-to-month,Electronic check,Fiber optic,0
CUST_000170,33,12,45.06,433.06,0,Month-to-month,Electronic check,No,1
CUST_000171,31,5,88.91,406.06,1,One year,Mailed check,No,1
CUST_000172,32,7,33.33,160.06,3,Two year,Credit card,DSL,0
CUST_000173,43,46,140.18,6341.93,1,One year,Bank transfer,Fiber optic,0
CUST_000174,50,20,116.84,2403.18,2,One year,Bank transfer,DSL,0
CUST_000175,49,14,89.63,1341.27,1,One year,Mailed check,Fiber optic,1
CUST_000176,57,3,103.41,350.11,0,Month-to-month,Mailed check,DSL,1
CUST_000177,45,14,115.76,1537.81,3,Two year,Credit card,No,0
CUST_000178,66,7,49.45,379.21,2,Month-to-month,Electronic check,DSL,1
CUST_000179,41,68,138.94,9256.73,3,One year,Mailed check,DSL,0
CUST_000180,80,51,64.98,3446.25,2,Two year,Electronic check,DSL,0
CUST_000181,54,2,62.33,0.0,1,Month-to-month,Bank transfer,Fiber optic,1
CUST_000182,32,17,84.33,1321.5,2,Month-to-month,Mailed check,DSL,0
CUST_000183,28,6,94.39,577.86,1,One year,Credit card,DSL,0
CUST_000184,52,12,29.01,368.59,2,One year,Mailed check,Fiber optic,0
CUST_000185,41,50,74.05,3695.27,0,Two year,Electronic check,No,0
CUST_000186,55,17,89.35,1407.97,1,One year,Credit card,Fiber optic,0
CUST_000187,52,9,60.24,655.47,2,Month-to-month,Mailed check,DSL,0
CUST_000188,43,5,100.0,331.42,3,Month-to-month,Electronic check,DSL,1
CUST_000189,32,38,104.17,3809.95,1,One year,Electronic check,DSL,1
CUST_000190,22,23,54.94,1252.93,3,One year,Electronic check,Fiber optic,1
CUST_000191,38,15,42.09,504.97,0,Month-to-month,Electronic check,DSL,0
CUST_000192,57,5,85.4,549.29,3,One year,Mailed check,Fiber optic,0
CUST_000193,48,9,69.55,508.1,3,Two year,Credit card,No,0
CUST_000194,26,77,75.4,5961.17,1,One year,Electronic check,Fiber optic,1
CUST_000195,47,17,61.14,1142.85,3,Month-to-month,Credit card,Fiber optic,1
CUST_000196,50,12,56.3,799.16,0,Month-to-month,Bank transfer,No,0
CUST_000197,31,17,39.31,857.03,2,Month-to-month,Bank transfer,DSL,0
CUST_000198,47,36,92.69,3345.0,3,One year,Bank transfer,Fiber optic,0
CUST_000199,45,9,100.86,806.49,0,One year,Mailed check,Fiber optic,0
CUST_000200,27,4,79.55,307.89,5,Month-to-month,Electronic check,DSL,1
CUST_000201,50,21,113.13,2319.05,2,One year,Mailed check,No,0
CUST_000202,53,26,45.76,1118.76,2,Two year,Mailed check,Fiber optic,0
CUST_000203,61,29,78.06,2278.86,1,Month-to-month,Electronic check,DSL,1
CUST_000204,60,51,106.44,5397.35,2,Month-to-month,Bank transfer,Fiber optic,1
CUST_000205,24,11,93.1,948.88,1,One year,Mailed check,DSL,0
CUST_000206,30,1,90.08,65.54,2,One year,Bank transfer,DSL,0
CUST_000207,52,76,130.9,10003.04,4,Two year,Mailed check,DSL,0
CUST_000208,52,13,91.64,1287.0,4,One year,Mailed check,DSL,1
CUST_000209,52,23,40.92,780.93,1,Month-to-month,Bank transfer,Fiber optic,0
CUST_000210,80,26,102.53,2635.47,5,Two year,Electronic check,Fiber optic,1
CUST_000211,53,18,101.48,1812.47,3,One year,Bank transfer,Fiber optic,1
CUST_000212,62,5,121.85,490.99,0,Month-to-month,Mailed check,Fiber optic,1
CUST_000213,59,33,105.84,3480.63,5,Two year,Bank transfer,DSL,0
CUST_000214,54,39,108.18,4233.94,0,Two year,Electronic check,DSL,0
CUST_000215,40,19,80.98,1590.53,3,Month-to-month,Bank transfer,DSL,1
CUST_000216,56,16,114.79,1844.39,2,Two year,Electronic check,DSL,0
CUST_000217,33,2,120.68,153.27,0,Month-to-month,Credit card,No,0
CUST_000218,41,2,98.9,399.01,1,Month-to-month,Bank transfer,Fiber optic,0
CUST_000219,37,9,85.75,854.66,2,Month-to-month,Bank transfer,No,1
CUST_000220,46,8,31.9,310.44,1,Month-to-month,Electronic check,DSL,1
CUST_000221,79,73,129.17,9530.18,2,One year,Bank transfer,Fiber optic,0
CUST_000222,18,36,108.86,3943.28,1,One year,Bank transfer,DSL,0
CUST_000223,55,25,110.06,2880.05,0,Two year,Mailed check,Fiber optic,0
CUST_000224,20,17,40.96,701.93,0,Month-to-month,Electronic check,Fiber optic,1
CUST_000225,37,4,87.37,349.67,1,One year,Electronic check,Fiber optic,0
CUST_000226,61,92,95.57,8856.18,3,One year,Mailed check,Fiber optic,0
CUST_000227,45,11,101.53,1274.43,6,Month-to-month,Bank transfer,Fiber optic,1
CUST_000228,28,2,45.04,241.28,1,One year,Bank transfer,Fiber optic,0
CUST_000229,34,16,96.4,1601.65,2,One year,Mailed check,DSL,0
CUST_000230,55,49,74.0,3677.63,0,One year,Electronic check,DSL,1
CUST_000231,34,52,46.9,2508.37,2,Two year,Electronic check,DSL,1
CUST_000232,48,0,83.34,98.56,2,Two year,Electronic check,Fiber optic,1
CUST_000233,45,52,57.33,3110.87,3,One year,Electronic check,DSL,1
CUST_000234,35,7,89.43,602.35,2,Month-to-month,Electronic check,DSL,1
CUST_000235,77,0,112.56,131.81,0,Two year,Bank transfer,No,0
CUST_000236,54,45,139.42,6308.41,1,One year,Mailed check,No,0
CUST_000237,18,47,67.09,3218.43,3,Two year,Credit card,DSL,0
CUST_000238,47,21,111.43,2478.13,0,Month-to-month,Bank transfer,DSL,1
CUST_000239,35,20,65.36,1381.81,2,Two year,Electronic check,Fiber optic,0
CUST_000240,57,40,130.05,5293.43,1,One year,Bank transfer,Fiber optic,0
CUST_000241,33,37,117.25,4299.27,3,One year,Electronic check,No,1
CUST_000242,43,52,53.39,2926.22,2,Month-to-month,Credit card,Fiber optic,0
CUST_000243,52,19,70.21,1403.63,4,One year,Bank transfer,No,0
CUST_000244,57,82,94.73,7780.61,0,Month-to-month,Electronic check,Fiber optic,1
CUST_000245,26,120,158.52,19132.28,3,Month-to-month,Mailed check,Fiber optic,0
CUST_000246,39,2,62.03,382.84,2,Month-to-month,Credit card,Fiber optic,1
CUST_000247,37,45,110.96,4876.26,0,Month-to-month,Bank transfer,DSL,0
CUST_000248,35,16,88.24,1331.52,0,Month-to-month,Electronic check,DSL,1
CUST_000249,71,11,123.06,1622.23,1,One year,Mailed check,Fiber optic,1
CUST_000250,51,22,124.78,2787.8,3,Two year,Credit card,No,0
CUST_000251,26,1,63.27,82.36,3,Month-to-month,Credit card,Fiber optic,1
CUST_000252,58,16,100.36,1594.19,1,Two year,Credit card,DSL,0
CUST_000253,76,49,127.45,6365.7,2,Month-to-month,Credit card,No,0
CUST_000254,60,5,112.39,823.07,0,Two year,Mailed check,Fiber optic,0
CUST_000255,22,13,33.31,366.56,1,Month-to-month,Credit card,Fiber optic,0
CUST_000256,37,67,83.71,5598.74,3,Month-to-month,Electronic check,DSL,0
CUST_000257,64,13,58.52,725.73,2,Two year,Bank transfer,Fiber optic,0
CUST_000258,34,10,68.44,757.73,2,Month-to-month,Electronic check,Fiber optic,1
CUST_000259,51,13,43.43,686.78,1,Month-to-month,Bank transfer,Fiber optic,0
CUST_000260,56,17,78.12,1490.14,1,One year,Mailed check,Fiber optic,0
CUST_000261,31,23,97.82,2326.56,3,Two year,Credit card,Fiber optic,0
CUST_000262,44,38,88.74,3623.92,1,Month-to-month,Electronic check,DSL,1
CUST_000263,18,14,93.58,1252.64,1,One year,Credit card,No,0
CUST_000264,29,40,46.64,1782.31,1,Month-to-month,Mailed check,Fiber optic,0
CUST_000265,41,18,116.6,2245.71,5,Month-to-month,Mailed check,Fiber optic,1
CUST_000266,26,9,118.41,1077.95,1,Month-to-month,Bank transfer,DSL,1
CUST_000267,69,25,94.29,2219.67,2,Two year,Bank transfer,No,0
CUST_000268,23,30,123.14,3662.57,2,Month-to-month,Credit card,DSL,1
CUST_000269,38,19,42.64,835.81,3,Month-to-month,Mailed check,No,0
CUST_000270,46,1,100.24,35.62,0,Month-to-month,Mailed check,Fiber optic,1
CUST_000271,66,4,33.91,34.19,4,One year,Credit card,DSL,0
CUST_000272,23,8,64.8,497.65,5,One year,Credit card,DSL,0
CUST_000273,62,7,55.88,284.72,3,One year,Electronic check,Fiber optic,1
CUST_000274,45,26,91.56,2444.05,4,Month-to-month,Electronic check,Fiber optic,1
CUST_000275,30,0,50.15,0.0,0,One year,Bank transfer,Fiber optic,0
CUST_000276,51,33,100.23,3316.68,4,Month-to-month,Credit card,No,0
CUST_000277,47,7,60.24,473.62,3,Month-to-month,Mailed check,Fiber optic,1
CUST_000278,35,8,110.08,871.58,1,Two year,Bank transfer,Fiber optic,0
CUST_000279,46,18,92.39,1772.31,3,One year,Electronic check,DSL,0
CUST_000280,39,5,44.03,83.09,2,One year,Mailed check,DSL,0
CUST_000281,46,51,79.11,3964.65,2,One year,Electronic check,Fiber optic,0
CUST_000282,54,2,105.74,178.48,2,Month-to-month,Electronic check,DSL,1
CUST_000283,68,14,65.65,990.34,2,Two year,Electronic check,DSL,0
CUST_000284,26,45,96.08,4345.45,2,Month-to-month,Electronic check,No,1
CUST_000285,76,22,95.89,2324.01,1,Month-to-month,Credit card,DSL,1
CUST_000286,18,8,58.78,389.67,1,Two year,Electronic check,DSL,0
CUST_000287,42,13,55.9,587.17,1,One year,Mailed check,Fiber optic,0
CUST_000288,53,29,82.03,2557.65,1,Month-to-month,Electronic check,DSL,1
CUST_000289,49,86,84.49,7122.89,2,One year,Bank transfer,Fiber optic,0
CUST_000290,35,53,74.92,4039.12,4,Two year,Bank transfer,No,0
CUST_000291,41,10,31.21,214.21,1,Month-to-month,Electronic check,DSL,1
CUST_000292,37,120,110.4,13040.71,3,Month-to-month,Electronic check,DSL,0
CUST_000293,36,0,52.07,0.0,2,Month-to-month,Electronic check,Fiber optic,0
CUST_000294,57,0,116.18,89.95,0,Month-to-month,Bank transfer,No,0
CUST_000295,50,41,99.47,3956.21,1,One year,Electronic check,Fiber optic,1
CUST_000296,34,5,101.24,563.8,0,Month-to-month,Electronic check,DSL,1
CUST_000297,58,1,25.04,101.32,4,Month-to-month,Mailed check,Fiber optic,0
CUST_000298,49,6,33.65,74.75,3,Month-to-month,Electronic check,DSL,1
CUST_000299,57,13,107.95,1380.62,2,Month-to-month,Bank transfer,Fiber optic,1
CUST_000300,54,31,97.85,3191.21,2,Month-to-month,Electronic check,Fiber optic,1
CUST_000301,32,23,50.6,1228.82,3,Month-to-month,Credit card,Fiber optic,0
CUST_000302,36,6,63.48,354.73,0,One year,Mailed check,DSL,1
CUST_000303,56,16,81.87,1351.41,2,Month-to-month,Electronic check,No,1
CUST_000304,54,62,135.36,8323.85,1,Month-to-month,Electronic check,No,0
CUST_000305,44,40,46.04,1953.02,0,Month-to-month,Mailed check,No,0
CUST_000306,46,9,84.17,868.88,1,Two year,Bank transfer,Fiber optic,0
CUST_000307,64,96,139.7,13423.64,2,Month-to-month,Mailed check,DSL,1
CUST_000308,36,29,132.29,3859.46,4,Month-to-month,Electronic check,DSL,0
CUST_000309,53,1,101.22,1.34,2,Month-to-month,Mailed check,Fiber optic,0
CUST_000310,41,0,47.62,0.0,2,Two year,Electronic check,Fiber optic,0
CUST_000311,41,4,92.96,334.17,2,Month-to-month,Mailed check,Fiber optic,0
CUST_000312,61,31,111.83,3457.92,4,One year,Mailed check,DSL,0
CUST_000313,57,4,94.97,486.16,2,Month-to-month,Bank transfer,Fiber optic,0
CUST_000314,57,17,110.51,1970.99,2,Month-to-month,Bank transfer,DSL,0
CUST_000315,64,2,111.37,241.23,1,Month-to-month,Credit card,No,1
CUST_000316,45,60,59.84,3709.63,3,One year,Bank transfer,DSL,0
CUST_000317,55,10,35.48,260.42,4,One year,Mailed check,Fiber optic,0
CUST_000318,40,57,128.14,7411.71,2,One year,Mailed check,DSL,1
CUST_000319,49,69,79.74,5422.83,1,Two year,Bank transfer,DSL,0
CUST_000320,43,0,25.85,123.97,1,Month-to-month,Electronic check,Fiber optic,1
CUST_000321,46,14,67.12,938.39,3,Month-to-month,Bank transfer,Fiber optic,1
CUST_000322,53,0,101.99,0.0,2,One year,Bank transfer,DSL,1
CUST_000323,32,57,61.16,3558.94,0,Month-to-month,Bank transfer,Fiber optic,1
CUST_000324,76,17,95.68,1707.59,5,Two year,Electronic check,DSL,0
CUST_000325,29,1,20.86,0.0,4,Two year,Bank transfer,No,1
CUST_000326,26,2,31.97,26.82,1,Month-to-month,Electronic check,No,1
CUST_000327,62,11,60.59,650.48,3,One year,Electronic check,DSL,0
CUST_000328,56,67,61.86,3952.12,0,Month-to-month,Bank transfer,DSL,0
CUST_000329,54,28,118.59,3084.05,0,Month-to-month,Mailed check,No,0
CUST_000330,54,48,130.41,6389.7,1,Two year,Mailed check,DSL,0
CUST_000331,44,10,100.56,923.16,3,Month-to-month,Electronic check,DSL,1
CUST_000332,31,1,44.75,230.27,1,Month-to-month,Electronic check,No,0
CUST_000333,46,87,115.82,10213.79,0,Month-to-month,Bank transfer,No,1
CUST_000334,34,0,38.42,156.72,6,Month-to-month,Bank transfer,DSL,0
CUST_000335,59,70,83.13,5753.92,1,Month-to-month,Bank transfer,DSL,0
CUST_000336,42,11,77.1,687.27,1,One year,Credit card,No,0
CUST_000337,32,0,93.5,0.0,1,One year,Mailed check,DSL,0
CUST_000338,40,28,43.47,1172.39,0,One year,Bank transfer,Fiber optic,1
CUST_000339,51,94,96.67,8849.63,1,Month-to-month,Electronic check,DSL,1
CUST_000340,36,80,152.66,12165.43,3,Month-to-month,Electronic check,No,0
CUST_000341,32,4,64.91,239.48,0,Month-to-month,Bank transfer,Fiber optic,1
CUST_000342,48,4,115.89,334.11,0,Two year,Electronic check,Fiber optic,0
CUST_000343,48,20,129.14,2478.75,2,Month-to-month,Mailed check,No,1
CUST_000344,37,24,84.67,2009.92,1,Month-to-month,Electronic check,Fiber optic,1
CUST_000345,37,32,64.8,2109.37,0,Month-to-month,Mailed check,DSL,1
CUST_000346,48,4,101.08,315.23,1,Month-to-month,Credit card,Fiber optic,1
CUST_000347,23,76,73.93,5647.99,1,Two year,Bank transfer,Fiber optic,0
CUST_000348,23,24,57.2,1386.6,3,Month-to-month,Electronic check,Fiber optic,1
CUST_000349,34,45,120.99,5449.15,1,One year,Bank transfer,DSL,0
CUST_000350,41,18,72.36,1237.36,4,Two year,Bank transfer,DSL,0
CUST_000351,49,12,46.15,420.51,2,Two year,Electronic check,Fiber optic,0
